,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
S001,0.35433412,0.47086254,0.51655149,0.53952891,0.41428697,0.27999586
S002,0.36456487,0.34922227,0.45384541,0.37370673,0.39332703,0.26688403
S003,0.25070062,0.39543927,0.44223419,0.44516215,0.28940424,0.1772586
S004,0.3549408,0.38380048,0.46373579,0.40971118,0.37091878,0.22808996
S005,0.31691498,0.49095908,0.41392195,0.50581819,0.3949092,0.28013116
S006,0.34844998,0.39864904,0.45923302,0.40912452,0.4391678,0.25512746
S007,0.45089254,0.46119064,0.49648821,0.47363099,0.40836045,0.23367411
S008,0.28624833,0.42867371,0.47207877,0.45250094,0.3941341,0.15200835
S009,0.37684676,0.36303478,0.51091546,0.51085109,0.31914157,0.24744128
S010,0.26764753,0.26253784,0.40268379,0.44943947,0.3858147,0.28011593
S011,0.32695317,0.42358795,0.4271611,0.39053422,0.39601851,0.24176748
S012,0.30847612,0.3837195,0.52975321,0.61688823,0.41336039,0.23959105
S013,0.35727462,0.42514417,0.45380235,0.5513289,0.49602285,0.27361888
S014,0.32013765,0.41798803,0.5209251,0.57547605,0.39657465,0.23169331
S015,0.3473267,0.4870823,0.63170826,0.60001361,0.40045738,0.27845508
S016,0.33583909,0.39410749,0.48006278,0.45361105,0.37210205,0.28940991
S017,0.33104283,0.33816022,0.46963817,0.4582862,0.36428773,0.22608335
S018,0.30806184,0.46157801,0.53387249,0.47385731,0.38783827,0.20082188
S019,0.33333501,0.42493886,0.38167816,0.59264624,0.34698427,0.22921635
S020,0.40422913,0.38199759,0.51601714,0.44560665,0.31595635,0.181445
S021,0.35648945,0.45327556,0.58368701,0.6303736,0.49644196,0.34108582
S022,0.28731433,0.36698276,0.52891713,0.6044547,0.50901133,0.24937524
S023,0.36620644,0.49982342,0.53825438,0.43662053,0.438555,0.32409647
S024,0.36755192,0.45624036,0.55858755,0.49172434,0.43588299,0.22223952
S025,0.32983038,0.38262969,0.47078538,0.48706064,0.43722802,0.23722911
S026,0.33605182,0.38181981,0.4762477,0.53952211,0.34164441,0.21753888
S027,0.27350962,0.41227725,0.53957665,0.54399049,0.38281915,0.27283725
S028,0.39009053,0.48653027,0.56495357,0.51327437,0.48471659,0.29491362
S029,0.33128527,0.40340155,0.54697943,0.51067907,0.38438767,0.25102818
S030,0.39631733,0.52017415,0.61136574,0.56461459,0.45114717,0.2443417
S031,0.39644194,0.44089815,0.5335381,0.53560168,0.42586109,0.29486319
S032,0.35698992,0.48346835,0.52762282,0.52584416,0.54975051,0.3540839
S033,0.3010771,0.4651531,0.40887964,0.53203321,0.45190492,0.27040115
S034,0.38864657,0.44896397,0.56866044,0.46081349,0.42092881,0.27046141
S035,0.32090375,0.44321743,0.46495944,0.49855724,0.41179207,0.26942
S036,0.44200212,0.48899502,0.49618673,0.48477614,0.4490408,0.27098557
S037,0.28762385,0.43838298,0.56745738,0.48725116,0.42181623,0.2213693
S038,0.30986908,0.45954433,0.5597738,0.53329188,0.40440485,0.22825462
S039,0.44841048,0.45960677,0.54354548,0.62723577,0.5467664,0.34192315
S040,0.30452821,0.40835577,0.57075703,0.51971114,0.42045298,0.25884533
S041,0.26458579,0.45131916,0.52098602,0.49320558,0.53002036,0.23820025
S042,0.35394463,0.41071051,0.50720304,0.50351965,0.38701478,0.23286699
S043,0.2907657,0.41464129,0.53312159,0.44527784,0.3924979,0.22230431
S044,0.33139721,0.50588095,0.47822675,0.50526381,0.38451791,0.28757554
S045,0.30216035,0.45633277,0.41846222,0.52571499,0.33165857,0.27998579
S046,0.37538752,0.44165689,0.52412957,0.41731012,0.401158,0.25014621
S047,0.39685297,0.46757084,0.48934174,0.46539447,0.40257919,0.24930406
S048,0.39068615,0.41789597,0.47322103,0.50502777,0.36990318,0.19214502
S049,0.28537074,0.42536578,0.51274085,0.37377086,0.44286799,0.2181205
S050,0.34324202,0.38452461,0.52313697,0.47015238,0.40257224,0.2530677
S051,0.29048049,0.51296395,0.53436172,0.59838235,0.41142094,0.23149623
S052,0.30190441,0.4295651,0.46135426,0.45437291,0.33829349,0.21572235
S053,0.27577299,0.45945114,0.46378192,0.4039959,0.40222618,0.24107613
S054,0.33563736,0.39700571,0.50394613,0.44280794,0.43839696,0.27561924
S055,0.36780506,0.42366692,0.56702507,0.52646112,0.43057361,0.25102141
S056,0.37192714,0.44809574,0.47450483,0.4540022,0.31536025,0.19285987
S057,0.30522004,0.42863643,0.44338027,0.67525387,0.39659846,0.29509521
S058,0.27262217,0.39789718,0.39075044,0.52080888,0.33057556,0.21297778
S059,0.44128746,0.43318164,0.61353898,0.55263078,0.43793383,0.27113876
S060,0.42115965,0.49917689,0.56052673,0.58450985,0.43058696,0.26188093
S061,0.31920916,0.4146859,0.49215221,0.40824521,0.50831234,0.32237738
S062,0.39607155,0.47351852,0.58427149,0.64648676,0.46897012,0.35878563
S063,0.34054947,0.48315275,0.54270184,0.50022686,0.47114921,0.31393602
S064,0.39660874,0.46181205,0.54735929,0.626068,0.5198887,0.38533169
S065,0.39229962,0.63617826,0.60187858,0.54713088,0.45041499,0.32001874
S066,0.3986209,0.54777056,0.50980568,0.53739297,0.45417103,0.26856107
S067,0.44171047,0.4606193,0.50065047,0.59305751,0.41954091,0.24916716
S068,0.31122619,0.43486518,0.55503309,0.51740903,0.3870948,0.27019379
S069,0.37468788,0.42698658,0.46919504,0.55698818,0.42349234,0.25874552
S070,0.39304569,0.52878571,0.5195213,0.53670561,0.41999167,0.28076503
S071,0.34674579,0.51736271,0.61102867,0.64133418,0.47774556,0.2909123
S072,0.3542375,0.45311752,0.51618612,0.55055064,0.37507898,0.21855418
S073,0.35939452,0.55205661,0.58334851,0.53723282,0.48412052,0.34178609
S074,0.41468465,0.6044172,0.63576174,0.56696886,0.59801662,0.31649849
S075,0.45391944,0.59424055,0.63959515,0.52661473,0.45019436,0.34370977
S076,0.38699833,0.47556618,0.64492875,0.55522424,0.49715763,0.25963461
S077,0.44569752,0.41442543,0.57050794,0.49242303,0.35035986,0.22196284
S078,0.39645281,0.40475029,0.59522754,0.65390891,0.43535763,0.32379955
S079,0.3335501,0.45047748,0.50753289,0.52716875,0.41559622,0.27421486
S080,0.43926239,0.6149258,0.61379135,0.63979512,0.55675036,0.35022125
S081,0.29255444,0.46520564,0.52357596,0.55340207,0.50618488,0.26189676
S082,0.34334072,0.49969757,0.53563267,0.64031637,0.38125756,0.27565941
S083,0.33749712,0.44616097,0.52315193,0.56375766,0.42247593,0.25891399
S084,0.44680211,0.56424874,0.62264711,0.58727425,0.48869944,0.2848874
S085,0.33422139,0.42003548,0.55051965,0.5753184,0.36097834,0.22605585
S086,0.36469346,0.37663326,0.53317362,0.52905959,0.39947042,0.24309257
S087,0.50999665,0.5025056,0.58678126,0.55976719,0.51665962,0.30158105
S088,0.34188491,0.51770312,0.5294717,0.5694645,0.38740379,0.27163595
S089,0.34066248,0.37469304,0.44829142,0.5590148,0.37010786,0.23898694
S090,0.3075,0.41602829,0.41425532,0.51649284,0.41470644,0.23621084
S091,0.29201171,0.33323437,0.46720654,0.48192221,0.36934978,0.26143375
S092,0.37289494,0.28745058,0.43763751,0.52959782,0.40194625,0.33124083
S093,0.29158196,0.40489122,0.5565967,0.47183862,0.3518354,0.27782005
S094,0.2833811,0.42575732,0.47469711,0.45932862,0.41238785,0.26186427
S095,0.36729607,0.43635193,0.51650327,0.57598537,0.58395422,0.3163847
S096,0.31703767,0.31527239,0.37608531,0.42255795,0.40517044,0.24992494
S097,0.45625699,0.48639607,0.48366061,0.4874194,0.38305134,0.26621801
S098,0.2928035,0.37198332,0.50566065,0.53179115,0.47630173,0.3394936
S099,0.33339047,0.47112924,0.47582632,0.51103902,0.43522304,0.24873604
S100,0.38154393,0.60169035,0.52623391,0.52477294,0.4046393,0.27292487
S101,0.28362951,0.43637493,0.47515613,0.5817256,0.3773593,0.21346363
S102,0.47790858,0.43370986,0.47132266,0.51358932,0.39368361,0.28876537
S103,0.35497537,0.44045225,0.48788068,0.50712633,0.43851551,0.29472244
S104,0.40408444,0.46251762,0.50602466,0.50953865,0.41276518,0.28602085
S105,0.28437212,0.4913789,0.46388376,0.47673261,0.35502517,0.26147345
S106,0.32727447,0.50930977,0.4979493,0.50356096,0.55002916,0.29955602
S107,0.29802561,0.54248273,0.52232265,0.49521574,0.4134295,0.22922716
S108,0.36472481,0.43660304,0.48232743,0.47648934,0.43373311,0.22552837
S109,0.35272446,0.46908906,0.6002993,0.64916247,0.53948808,0.21343362
S110,0.29881683,0.32758316,0.47960463,0.47114921,0.34117395,0.2024312
S111,0.31810448,0.47858068,0.58817321,0.70033634,0.5673542,0.34914249
S112,0.2733084,0.43844864,0.40302154,0.44390714,0.36646935,0.20699376
S113,0.29168695,0.40594751,0.47813979,0.61420065,0.46831062,0.25708497
S114,0.41446948,0.32958043,0.53413206,0.44331855,0.47598794,0.269788
S115,0.31158796,0.40529567,0.46076334,0.38819352,0.41934386,0.25741097
S116,0.28917709,0.35364553,0.45063949,0.37449071,0.33891666,0.18727158
S117,0.27866685,0.34418681,0.40349945,0.42785653,0.37114111,0.18908681
S118,0.38715646,0.41392577,0.51992244,0.59884435,0.42810667,0.29936638
S119,0.29391021,0.41271836,0.42079809,0.44900039,0.40217969,0.24995926
S120,0.27328712,0.38294023,0.46863803,0.38038042,0.31618148,0.20777655
S121,0.24771203,0.45121548,0.5087285,0.56101292,0.38799059,0.28276375
S122,0.27653095,0.47638044,0.48293051,0.51696593,0.41193616,0.26811266
S123,0.33953711,0.43399319,0.50996673,0.68449414,0.5362221,0.37544921
S124,0.33250937,0.37519351,0.46740416,0.42795536,0.47119474,0.25192246
S125,0.49721026,0.49035621,0.63564986,0.64303738,0.43890962,0.24279135
S126,0.4281159,0.42365935,0.5769034,0.47574598,0.39359903,0.25362775
S127,0.32420275,0.51245433,0.61598909,0.54922754,0.49433735,0.25619674
S128,0.30465022,0.43209413,0.50972795,0.44339335,0.39159003,0.20979089
S129,0.34403226,0.45489576,0.52569902,0.58902228,0.60381997,0.26350024
S130,0.35149914,0.4116652,0.48802745,0.51878309,0.33946112,0.22566926
S131,0.39740998,0.40674278,0.51916736,0.48018163,0.42441031,0.21411611
S132,0.32845181,0.38742924,0.52430749,0.53583485,0.44536874,0.24329233
S133,0.30856746,0.54838192,0.54294932,0.59444141,0.47416958,0.2780692
S134,0.31033117,0.40809956,0.44133723,0.44292125,0.3530145,0.22819597
S135,0.30499223,0.41537064,0.49876651,0.50381851,0.46340859,0.29331779
S136,0.35433295,0.36367151,0.4748584,0.54428464,0.40956387,0.20387179
S137,0.31305858,0.48547795,0.53093672,0.60810858,0.38317481,0.25688794
S138,0.43891892,0.4174425,0.58352411,0.51251358,0.36165687,0.25134844
S139,0.34977785,0.54682744,0.57192034,0.47990206,0.50292897,0.34689906
S140,0.28600448,0.41444147,0.47479543,0.42474669,0.44450167,0.25261226
S141,0.29216987,0.37114832,0.45288077,0.352561,0.45012346,0.23496698
S142,0.31815729,0.35139176,0.46425608,0.42561212,0.37502438,0.24312456
S143,0.31168279,0.4659009,0.51234359,0.51868141,0.44999823,0.31015205
S144,0.29488891,0.49924564,0.52912068,0.47789362,0.42476466,0.25216404
S145,0.3281914,0.40469912,0.48567477,0.47351015,0.48930368,0.31471914
S146,0.38323519,0.44749022,0.55196667,0.53470296,0.32440382,0.22431211
S147,0.37295568,0.46495596,0.52585763,0.54092348,0.37586457,0.28178552
S148,0.34124672,0.43253648,0.52158779,0.55351657,0.44244295,0.30975318
S149,0.39022306,0.38036171,0.48788765,0.43094665,0.29736277,0.2209326
S150,0.3670705,0.41280481,0.61710566,0.59802276,0.60462636,0.33584213
S151,0.4114649,0.44714278,0.6855312,0.45078585,0.48797029,0.29155484
S152,0.25873235,0.39473599,0.55465829,0.57551247,0.4404625,0.29167104
S153,0.31815159,0.4614675,0.58337444,0.48839462,0.50373453,0.22148444
S154,0.27523696,0.39153877,0.47494704,0.50654262,0.41571945,0.21873385
S155,0.35338381,0.34633678,0.39572075,0.56713754,0.56752992,0.26977542
S156,0.27339539,0.48290008,0.44802481,0.53437716,0.40301114,0.3137821
S157,0.40362504,0.36535028,0.50778759,0.41300288,0.43254656,0.25261259
S158,0.28625396,0.47381896,0.49800709,0.64373893,0.46336123,0.29111186
S159,0.45829409,0.49204037,0.57900506,0.6585595,0.48673412,0.2741667
S160,0.35813475,0.43198603,0.5449999,0.49582085,0.36140409,0.25614044
S161,0.38927984,0.40399167,0.53928268,0.56614029,0.39370456,0.22226189
S162,0.43480971,0.4085052,0.53497958,0.49212036,0.38999057,0.22847804
S163,0.44925234,0.53323704,0.58888119,0.62345123,0.51067066,0.31661457
S164,0.33449635,0.54539543,0.65006673,0.60413098,0.44331458,0.25182647
S165,0.34243888,0.50248569,0.6008786,0.64627373,0.40851843,0.2299138
S166,0.33585632,0.43279353,0.52885145,0.58913714,0.33689025,0.21306996
S167,0.41352674,0.52882791,0.59811312,0.54621065,0.33927229,0.2110526
S168,0.32349896,0.3860057,0.51958728,0.48431757,0.42729965,0.23487742
S169,0.4315331,0.46432325,0.5443117,0.50441623,0.44919041,0.28813928
S170,0.45292425,0.47055289,0.53514582,0.45658898,0.4580808,0.282262
S171,0.29304305,0.43240979,0.50283694,0.53651673,0.5050416,0.28996322
S172,0.40151933,0.42247307,0.57061964,0.51346028,0.42737895,0.26033381
S173,0.43809062,0.43610901,0.5566293,0.47027674,0.41344216,0.23661099
S174,0.4037388,0.51069957,0.57394964,0.61259526,0.45485204,0.35018894
S175,0.45586327,0.42401972,0.55187339,0.49862731,0.4160347,0.25102645
S176,0.29149053,0.40287143,0.47493115,0.4533436,0.40974715,0.2258141
S177,0.35468787,0.41780743,0.54373842,0.56384844,0.33794475,0.24534433
S178,0.30638433,0.47376272,0.58066493,0.58740687,0.41254136,0.29460347
S179,0.34915739,0.40334731,0.50636977,0.45787045,0.3512589,0.28338373
S180,0.36710149,0.56081635,0.57494777,0.53016847,0.45022318,0.25212181
S181,0.27424085,0.49309736,0.55394608,0.59013402,0.37029606,0.27924773
S182,0.43697563,0.43839067,0.58248633,0.62037396,0.43004584,0.31833774
S183,0.32004088,0.41963786,0.53004599,0.58293426,0.36774391,0.29177302
S184,0.38877803,0.35870922,0.5272308,0.41378567,0.33415583,0.19829813
S185,0.40185112,0.47409347,0.56746125,0.52561337,0.36565757,0.24163553
S186,0.41511962,0.4247205,0.5284059,0.46937817,0.36676121,0.25778311
S187,0.35752779,0.39422399,0.56001836,0.52406543,0.43297067,0.31700936
S188,0.29593748,0.49336472,0.42510578,0.40796602,0.38622928,0.2730006
S189,0.38988522,0.37578049,0.49102375,0.45833489,0.32941622,0.15609305
S190,0.36369854,0.40031642,0.59763587,0.54320908,0.44027776,0.29764903
S191,0.37855449,0.47854629,0.56421852,0.55766696,0.37818933,0.24297504
S192,0.36086023,0.51843899,0.69233531,0.62952507,0.46516177,0.3553853
S193,0.41630074,0.53500855,0.49954554,0.4864119,0.44474727,0.25901142
S194,0.31773639,0.47013891,0.63435167,0.55226576,0.29598626,0.22754362
S195,0.31648144,0.46393082,0.53045374,0.60417145,0.47188804,0.30295786
S196,0.30919445,0.57002068,0.61656743,0.53753793,0.41765431,0.25493395
S197,0.32261336,0.56152165,0.60125005,0.63963145,0.55583358,0.36363548
S198,0.29813358,0.41351229,0.49894133,0.42064673,0.40963924,0.24590084
S199,0.32519999,0.43180805,0.60067642,0.56819761,0.46544835,0.27765703
S200,0.38759997,0.43753889,0.49231735,0.53116041,0.41303125,0.34284276
S201,0.32784021,0.45140466,0.51877773,0.50454748,0.46649697,0.29403684
S202,0.35150999,0.46301842,0.52350235,0.56123704,0.47515118,0.26777235
S203,0.30335343,0.48015052,0.51607198,0.51307011,0.41751772,0.25609341
S204,0.4279421,0.36312598,0.5156548,0.50715864,0.5172708,0.28146282
S205,0.35812914,0.3774592,0.45460808,0.61362249,0.47315413,0.27276871
S206,0.31778824,0.39630353,0.51166153,0.4016239,0.28795817,0.2163838
S207,0.3650195,0.41519392,0.4590331,0.45439744,0.4731679,0.25330412
S208,0.31251153,0.43889642,0.51428634,0.42515749,0.39177465,0.24802932
S209,0.35455582,0.50640291,0.57518214,0.66784018,0.53318733,0.35683882
S210,0.34914407,0.43970641,0.46425959,0.56872851,0.38818866,0.22010233
S211,0.38541484,0.53604567,0.4833456,0.5359475,0.43519342,0.26504442
S212,0.42304847,0.46753824,0.48746389,0.54371762,0.43003577,0.28144199
S213,0.35489416,0.53579849,0.49434146,0.52289176,0.49216717,0.24444313
S214,0.35874358,0.41486332,0.55042595,0.55033869,0.36148351,0.26322556
S215,0.33009407,0.43115777,0.49150679,0.54448098,0.3990669,0.21417087
S216,0.35173759,0.35728407,0.49085993,0.53066134,0.40140465,0.26402077
S217,0.45430604,0.49214303,0.56889349,0.59026599,0.46222195,0.28761464
S218,0.27560517,0.3804903,0.47514173,0.42582008,0.35858417,0.22177471
S219,0.3740074,0.50214624,0.55887532,0.60412568,0.46091339,0.31967765
S220,0.28920054,0.43556574,0.45282057,0.54218167,0.44812801,0.27662903
S221,0.33969393,0.26875833,0.48800781,0.42584395,0.37571552,0.25413096
S222,0.29840869,0.40549174,0.43857959,0.48457393,0.36727828,0.19073609
S223,0.33886492,0.42932415,0.48903978,0.61371821,0.51027709,0.30372155
S224,0.31568751,0.43584567,0.50912285,0.4207384,0.33454815,0.24268651
S225,0.39454937,0.48328143,0.47113708,0.54270113,0.34494531,0.25965714
S226,0.43980134,0.45730871,0.54764551,0.43901578,0.40025261,0.30202124
S227,0.32383335,0.41264105,0.51669097,0.46898985,0.48499918,0.29886505
S228,0.33442503,0.47351125,0.52944714,0.49948919,0.37624064,0.25301093
S229,0.35670656,0.42892733,0.50889647,0.50137562,0.4408285,0.2533983
S230,0.38535553,0.60003042,0.63695711,0.65949458,0.54449099,0.31854904
S231,0.4308309,0.42675406,0.6044066,0.60897565,0.4596481,0.34985673
S232,0.3071706,0.44718561,0.48437384,0.41366303,0.42073578,0.19250639
S233,0.40348056,0.53303957,0.54661065,0.62509573,0.51074839,0.30015507
S234,0.38235584,0.37258324,0.41681847,0.43760601,0.35531408,0.2260146
S235,0.32694188,0.41913417,0.48670655,0.73058343,0.47733432,0.27001396
S236,0.38051912,0.40075311,0.48396364,0.57947439,0.42438355,0.25128135
S237,0.40188566,0.40323219,0.51452261,0.47840211,0.47550607,0.25013727
S238,0.42264313,0.39677382,0.56325895,0.42957041,0.37704414,0.23146436
S239,0.45258975,0.45015305,0.58136898,0.53459084,0.36381513,0.22607996
S240,0.37540659,0.47884202,0.5355466,0.52511394,0.40223753,0.27300569
S241,0.32396519,0.39667553,0.50022256,0.566167,0.49344331,0.27118552
S242,0.47827744,0.46540916,0.64895761,0.49083188,0.41982338,0.25462541
S243,0.46950454,0.40444529,0.48725039,0.51683867,0.42184448,0.29012507
S244,0.41981596,0.39213756,0.54536021,0.65518367,0.47908419,0.28047761
S245,0.43628636,0.51227194,0.5647155,0.40462527,0.38950273,0.28060409
S246,0.3475754,0.47671822,0.59101963,0.67077428,0.4321427,0.28645107
S247,0.39887294,0.41609794,0.46308446,0.41559047,0.33672452,0.24191004
S248,0.39293587,0.42335916,0.51645803,0.48606899,0.41872761,0.2570971
S249,0.31987852,0.5922612,0.55723345,0.54560882,0.47619852,0.22787847
